,user_id,action_1,action_2,action_3,action_4,action_5,prev,current_tariff,prepayment,total,will_stay
26,user_10101,0.0,45.0,21.0,0.0,0.0,2,tariff_7,True,66.0,1
27,user_10102,0.0,11.0,1.0,0.0,0.0,1,tariff_25,True,12.0,0
28,user_10103,0.0,15.0,2.0,0.0,0.0,3,tariff_11,False,17.0,1
29,user_10105,0.0,4.0,3.0,0.0,0.0,1,tariff_15,False,7.0,0
30,user_10117,0.0,5.0,1.0,0.0,0.0,2,tariff_25,True,6.0,1
31,user_10119,0.0,1.0,1.0,0.0,0.0,1,tariff_25,False,2.0,0
32,user_10121,0.0,10.0,6.0,1.0,0.0,4,tariff_25,True,17.0,0
33,user_10125,0.0,3.0,3.0,0.0,0.0,1,tariff_25,False,6.0,1
34,user_10134,0.0,1.0,1.0,0.0,0.0,1,tariff_10,False,2.0,0
35,user_10135,0.0,453.0,44.0,1.0,0.0,1,tariff_15,True,498.0,0
36,user_10137,0.0,27.0,6.0,3.0,0.0,3,tariff_11,True,36.0,1
37,user_1014,0.0,54.0,4.0,1.0,0.0,3,tariff_11,True,59.0,1
38,user_10143,0.0,5.0,1.0,0.0,1.0,2,tariff_15,False,7.0,0
39,user_10147,0.0,17.0,0.0,0.0,0.0,3,tariff_15,False,17.0,1
40,user_10156,1.0,55.0,5.0,1.0,0.0,2,tariff_11,False,62.0,1
41,user_10165,0.0,32.0,26.0,19.0,0.0,3,tariff_25,True,77.0,1
42,user_10167,0.0,47.0,13.0,1.0,0.0,1,tariff_15,False,61.0,1
43,user_10170,0.0,48.0,37.0,9.0,0.0,1,tariff_14,False,94.0,1
44,user_10172,0.0,13.0,4.0,1.0,0.0,2,tariff_4,False,18.0,1
45,user_10173,0.0,2.0,2.0,0.0,0.0,1,tariff_1,False,4.0,1
46,user_10174,0.0,7.0,1.0,1.0,0.0,3,tariff_25,False,9.0,1
47,user_10175,0.0,26.0,4.0,1.0,0.0,3,tariff_7,True,31.0,1
48,user_10177,0.0,4.0,4.0,1.0,0.0,2,tariff_25,True,9.0,0
49,user_1018,0.0,20.0,0.0,2.0,0.0,3,tariff_20,True,22.0,1
50,user_10185,0.0,2.0,0.0,0.0,0.0,3,tariff_25,True,2.0,0
51,user_10188,0.0,8.0,3.0,0.0,0.0,2,tariff_10,False,11.0,0
52,user_10192,0.0,8.0,4.0,0.0,0.0,4,tariff_15,True,12.0,0
53,user_10196,0.0,6.0,3.0,2.0,0.0,1,tariff_25,True,11.0,1
54,user_10197,0.0,24.0,4.0,0.0,0.0,1,tariff_25,False,28.0,1
55,user_10199,0.0,63.0,34.0,8.0,0.0,4,tariff_7,True,105.0,1
56,user_10215,0.0,10.0,6.0,0.0,0.0,3,tariff_25,True,16.0,1
57,user_10220,0.0,30.0,13.0,2.0,0.0,4,tariff_11,False,45.0,1
58,user_10223,1.0,2.0,2.0,0.0,0.0,1,tariff_2,False,5.0,0
59,user_10224,0.0,1.0,1.0,0.0,0.0,1,tariff_25,False,2.0,0
60,user_10228,1.0,0.0,0.0,0.0,0.0,1,tariff_7,True,1.0,1
61,user_10231,0.0,24.0,21.0,0.0,0.0,4,tariff_14,True,45.0,1
62,user_10232,0.0,3.0,1.0,1.0,0.0,3,tariff_11,True,5.0,1
63,user_10235,0.0,12.0,3.0,0.0,0.0,2,tariff_15,False,15.0,1
64,user_10246,0.0,4.0,3.0,1.0,0.0,4,tariff_25,False,8.0,1
65,user_1025,0.0,36.0,22.0,10.0,0.0,4,tariff_11,False,68.0,1
66,user_10252,0.0,157.0,110.0,0.0,0.0,4,tariff_25,False,267.0,1
67,user_10260,0.0,56.0,14.0,2.0,1.0,1,tariff_4,False,73.0,1
68,user_10269,13.0,1.0,0.0,0.0,0.0,4,tariff_7,True,14.0,1
69,user_10279,0.0,9.0,1.0,0.0,0.0,1,tariff_25,False,10.0,0
70,user_10281,0.0,29.0,1.0,0.0,0.0,1,tariff_20,False,30.0,1
71,user_10282,0.0,1.0,1.0,0.0,0.0,1,tariff_10,False,2.0,0
72,user_10287,0.0,16.0,1.0,0.0,0.0,3,tariff_15,False,17.0,0
73,user_10290,0.0,7.0,4.0,0.0,0.0,3,tariff_25,False,11.0,1
74,user_10291,0.0,7.0,1.0,0.0,0.0,2,tariff_1,False,8.0,1
75,user_10299,0.0,1.0,2.0,0.0,0.0,1,tariff_15,False,3.0,0
76,user_1030,0.0,32.0,4.0,4.0,0.0,4,tariff_7,True,40.0,1
77,user_10300,0.0,14.0,7.0,2.0,1.0,4,tariff_11,False,24.0,0
78,user_10304,0.0,1.0,1.0,0.0,0.0,1,tariff_20,True,2.0,0
79,user_10306,0.0,38.0,7.0,1.0,0.0,3,tariff_11,True,46.0,1
80,user_10307,0.0,54.0,19.0,4.0,0.0,3,tariff_15,True,77.0,1
81,user_10310,0.0,1.0,1.0,0.0,0.0,1,tariff_20,False,2.0,0
82,user_10313,0.0,1.0,1.0,0.0,0.0,1,tariff_15,False,2.0,0
83,user_10315,0.0,1.0,2.0,2.0,0.0,1,tariff_25,False,5.0,0
84,user_10321,0.0,25.0,1.0,0.0,0.0,1,tariff_15,True,26.0,1
85,user_10325,0.0,3.0,3.0,0.0,0.0,4,tariff_25,False,6.0,1
86,user_10329,0.0,11.0,0.0,0.0,0.0,2,tariff_25,False,11.0,1
87,user_10330,0.0,3.0,1.0,0.0,0.0,1,tariff_20,False,4.0,0
88,user_10332,0.0,5.0,3.0,1.0,0.0,2,tariff_25,False,9.0,0
89,user_10335,0.0,36.0,2.0,1.0,0.0,3,tariff_15,True,39.0,1
90,user_10336,0.0,5.0,0.0,0.0,0.0,1,tariff_15,False,5.0,0
91,user_10339,0.0,3.0,2.0,1.0,0.0,2,tariff_20,False,6.0,1
92,user_10341,0.0,5.0,2.0,0.0,0.0,4,tariff_25,False,7.0,1
93,user_10349,0.0,66.0,29.0,4.0,0.0,3,tariff_1,False,99.0,1
94,user_10353,0.0,3.0,3.0,0.0,0.0,1,tariff_1,False,6.0,0
95,user_10355,0.0,39.0,29.0,17.0,0.0,3,tariff_25,False,85.0,1
96,user_10361,0.0,87.0,10.0,4.0,1.0,2,tariff_7,True,102.0,1
97,user_10364,0.0,2.0,2.0,0.0,0.0,1,tariff_4,False,4.0,0
98,user_10371,0.0,1.0,1.0,1.0,0.0,1,tariff_25,False,3.0,0
99,user_10377,0.0,1.0,0.0,1.0,0.0,1,tariff_15,True,2.0,0
100,user_10385,0.0,6.0,2.0,0.0,0.0,3,tariff_15,False,8.0,0
101,user_10386,0.0,8.0,6.0,1.0,0.0,1,tariff_25,True,15.0,0
102,user_10389,0.0,29.0,2.0,0.0,0.0,4,tariff_11,False,31.0,1
103,user_10392,0.0,4.0,3.0,0.0,0.0,2,tariff_25,False,7.0,0
104,user_10394,0.0,5.0,4.0,0.0,0.0,4,tariff_25,False,9.0,1
105,user_10398,0.0,5.0,2.0,0.0,0.0,2,tariff_25,False,7.0,0
106,user_10399,0.0,13.0,2.0,0.0,0.0,2,tariff_25,False,15.0,1
107,user_1040,0.0,1.0,1.0,1.0,0.0,1,tariff_25,True,3.0,0
108,user_10403,0.0,3.0,3.0,1.0,0.0,3,tariff_25,False,7.0,0
109,user_10406,0.0,1.0,0.0,0.0,0.0,2,tariff_25,True,1.0,0
110,user_10414,0.0,4.0,2.0,0.0,0.0,1,tariff_25,False,6.0,0
111,user_10416,0.0,41.0,15.0,0.0,0.0,3,tariff_11,True,56.0,1
112,user_10417,0.0,12.0,5.0,1.0,0.0,4,tariff_11,False,18.0,0
113,user_10418,0.0,19.0,2.0,0.0,0.0,1,tariff_2,False,21.0,0
114,user_10421,0.0,11.0,3.0,0.0,0.0,1,tariff_20,False,14.0,1
115,user_10426,0.0,20.0,8.0,3.0,0.0,1,tariff_25,False,31.0,0
116,user_10430,0.0,7.0,2.0,1.0,0.0,2,tariff_25,True,10.0,1
117,user_10432,0.0,3.0,1.0,0.0,0.0,3,tariff_25,False,4.0,1
118,user_10434,0.0,4.0,4.0,3.0,0.0,2,tariff_25,False,11.0,0
119,user_10438,0.0,10.0,3.0,1.0,0.0,3,tariff_25,False,14.0,1
120,user_1044,0.0,3.0,2.0,2.0,0.0,1,tariff_25,False,7.0,1
121,user_10449,0.0,45.0,2.0,0.0,0.0,3,tariff_11,False,47.0,1
122,user_10451,0.0,51.0,16.0,1.0,0.0,4,tariff_11,True,68.0,1
123,user_10455,0.0,5.0,4.0,3.0,0.0,3,tariff_25,False,12.0,1
124,user_10456,0.0,1.0,1.0,0.0,1.0,3,tariff_25,False,3.0,1
125,user_1046,0.0,6.0,1.0,2.0,0.0,3,tariff_11,False,9.0,1
126,user_10462,0.0,11.0,6.0,2.0,0.0,3,tariff_26,False,19.0,0
127,user_10469,0.0,27.0,26.0,13.0,0.0,1,tariff_15,False,66.0,1
128,user_10484,0.0,11.0,4.0,1.0,0.0,3,tariff_15,False,16.0,1
129,user_10491,0.0,22.0,20.0,3.0,0.0,2,tariff_25,False,45.0,0
130,user_10493,0.0,3.0,1.0,0.0,0.0,3,tariff_25,True,4.0,0
131,user_10496,0.0,6.0,5.0,1.0,0.0,1,tariff_25,False,12.0,0
132,user_10498,0.0,1.0,1.0,0.0,0.0,1,tariff_15,False,2.0,0
133,user_105,0.0,15.0,0.0,0.0,0.0,4,tariff_25,False,15.0,0
134,user_10501,0.0,4.0,2.0,0.0,0.0,3,tariff_20,False,6.0,1
135,user_10502,0.0,50.0,9.0,5.0,0.0,4,tariff_1,False,64.0,1
136,user_10508,0.0,4.0,2.0,0.0,0.0,1,tariff_4,False,6.0,1
137,user_10509,0.0,9.0,4.0,0.0,0.0,1,tariff_25,True,13.0,1
138,user_10510,0.0,11.0,8.0,1.0,0.0,2,tariff_10,True,20.0,1
139,user_10512,0.0,5.0,2.0,0.0,0.0,1,tariff_25,False,7.0,0
140,user_10514,0.0,1.0,1.0,1.0,0.0,1,tariff_2,False,3.0,0
141,user_10518,0.0,2.0,1.0,0.0,0.0,3,tariff_25,False,3.0,1
142,user_10522,0.0,1.0,1.0,0.0,0.0,1,tariff_25,False,2.0,0
143,user_10525,0.0,5.0,2.0,0.0,0.0,2,tariff_25,False,7.0,1
144,user_10527,0.0,52.0,18.0,1.0,0.0,4,tariff_25,False,71.0,1
145,user_10529,0.0,3.0,3.0,2.0,0.0,2,tariff_25,False,8.0,1
146,user_10530,4.0,35.0,25.0,7.0,0.0,4,tariff_7,True,71.0,1
147,user_10535,0.0,4.0,3.0,4.0,0.0,3,tariff_7,True,11.0,1
148,user_10539,0.0,2.0,1.0,0.0,0.0,1,tariff_25,False,3.0,0
149,user_1054,0.0,6.0,4.0,0.0,0.0,3,tariff_1,False,10.0,1
150,user_10548,0.0,8.0,2.0,0.0,0.0,3,tariff_25,False,10.0,1
151,user_1055,10.0,4.0,1.0,0.0,0.0,1,tariff_11,False,15.0,0
152,user_10553,0.0,126.0,64.0,4.0,3.0,2,tariff_15,True,197.0,0
153,user_10562,0.0,8.0,1.0,0.0,0.0,3,tariff_25,False,9.0,1
154,user_10568,0.0,3.0,1.0,0.0,0.0,1,tariff_25,False,4.0,0
155,user_10570,0.0,40.0,1.0,0.0,0.0,4,tariff_25,False,41.0,0
156,user_10575,0.0,3.0,1.0,0.0,0.0,1,tariff_25,False,4.0,0
157,user_10588,0.0,3.0,0.0,0.0,1.0,3,tariff_25,False,4.0,1
158,user_10589,0.0,5.0,1.0,0.0,0.0,1,tariff_25,False,6.0,0
159,user_10590,0.0,5.0,5.0,0.0,0.0,2,tariff_20,False,10.0,0
160,user_10591,0.0,28.0,10.0,5.0,0.0,3,tariff_7,True,43.0,1
161,user_10593,0.0,5.0,4.0,0.0,0.0,2,tariff_20,False,9.0,1
162,user_10595,51.0,0.0,0.0,0.0,0.0,3,tariff_6,True,51.0,1
163,user_10596,0.0,87.0,13.0,1.0,4.0,2,tariff_15,True,105.0,1
164,user_10600,0.0,110.0,11.0,0.0,0.0,1,tariff_15,False,121.0,1
165,user_10601,0.0,23.0,21.0,0.0,0.0,3,tariff_25,True,44.0,1
166,user_10606,0.0,7.0,6.0,0.0,0.0,3,tariff_11,False,13.0,1
167,user_10609,0.0,4.0,2.0,1.0,0.0,1,tariff_10,False,7.0,0
168,user_10612,0.0,1.0,1.0,0.0,0.0,1,tariff_20,False,2.0,0
169,user_10613,0.0,6.0,3.0,0.0,0.0,4,tariff_1,False,9.0,1
170,user_10624,0.0,4.0,3.0,1.0,0.0,3,tariff_25,True,8.0,0
171,user_10626,0.0,4.0,2.0,0.0,0.0,1,tariff_25,False,6.0,1
172,user_10630,0.0,2.0,2.0,0.0,0.0,1,tariff_25,False,4.0,0
173,user_10635,0.0,391.0,282.0,32.0,0.0,4,tariff_11,False,705.0,1
174,user_10638,0.0,31.0,1.0,0.0,0.0,1,tariff_15,False,32.0,1
175,user_1064,0.0,62.0,27.0,4.0,0.0,1,tariff_7,False,93.0,1
176,user_10642,0.0,12.0,9.0,0.0,0.0,1,tariff_25,False,21.0,1
177,user_10644,0.0,3.0,1.0,0.0,0.0,1,tariff_25,False,4.0,0
178,user_10646,78.0,5.0,0.0,0.0,0.0,4,tariff_11,False,83.0,1
179,user_10656,0.0,25.0,2.0,1.0,0.0,4,tariff_7,True,28.0,1
180,user_10657,0.0,2.0,0.0,0.0,0.0,4,tariff_25,False,2.0,1
181,user_10659,0.0,1.0,1.0,0.0,0.0,1,tariff_20,False,2.0,0
182,user_10662,0.0,37.0,6.0,0.0,0.0,3,tariff_7,True,43.0,1
183,user_10664,0.0,22.0,2.0,0.0,0.0,3,tariff_11,True,24.0,1
184,user_10666,0.0,8.0,2.0,6.0,0.0,1,tariff_25,True,16.0,0
185,user_10679,0.0,2.0,2.0,0.0,0.0,1,tariff_1,False,4.0,0
186,user_10680,0.0,27.0,2.0,4.0,0.0,2,tariff_15,False,33.0,1
187,user_10681,0.0,4.0,5.0,0.0,0.0,3,tariff_25,False,9.0,0
188,user_10688,0.0,196.0,55.0,16.0,0.0,3,tariff_15,True,267.0,1
189,user_10691,0.0,16.0,0.0,0.0,0.0,3,tariff_11,False,16.0,1
190,user_10697,0.0,53.0,23.0,0.0,4.0,1,tariff_15,True,80.0,0
191,user_10708,0.0,24.0,24.0,14.0,0.0,3,tariff_25,False,62.0,1
192,user_10709,0.0,16.0,7.0,0.0,0.0,4,tariff_1,False,23.0,1
193,user_10724,0.0,7.0,7.0,0.0,0.0,3,tariff_14,True,14.0,1
194,user_10725,0.0,6.0,2.0,0.0,0.0,3,tariff_15,False,8.0,0
195,user_10733,0.0,3.0,0.0,0.0,0.0,3,tariff_25,True,3.0,0
196,user_10735,0.0,1.0,1.0,1.0,0.0,1,tariff_25,False,3.0,0
197,user_10736,0.0,44.0,1.0,1.0,0.0,3,tariff_7,True,46.0,1
198,user_10745,0.0,6.0,1.0,0.0,0.0,3,tariff_11,False,7.0,0
199,user_10753,0.0,4.0,5.0,0.0,0.0,3,tariff_25,False,9.0,1
200,user_10756,0.0,2.0,2.0,0.0,0.0,2,tariff_25,False,4.0,1
201,user_10761,0.0,1.0,1.0,1.0,0.0,1,tariff_10,False,3.0,0
202,user_10763,0.0,75.0,13.0,4.0,1.0,3,tariff_15,False,93.0,1
203,user_10765,0.0,39.0,17.0,0.0,0.0,2,tariff_15,False,56.0,1
204,user_10770,0.0,18.0,11.0,2.0,0.0,1,tariff_20,False,31.0,1
205,user_10771,0.0,7.0,4.0,3.0,0.0,1,tariff_25,False,14.0,1
206,user_10774,0.0,115.0,42.0,6.0,0.0,3,tariff_11,False,163.0,1
207,user_10777,0.0,4.0,2.0,2.0,0.0,2,tariff_25,False,8.0,1
208,user_10783,0.0,4.0,4.0,1.0,0.0,2,tariff_25,True,9.0,0
209,user_10788,0.0,5.0,4.0,2.0,0.0,4,tariff_25,False,11.0,1
210,user_1079,0.0,5.0,0.0,0.0,0.0,4,tariff_25,True,5.0,0
211,user_10792,0.0,3.0,1.0,0.0,0.0,1,tariff_25,False,4.0,0
212,user_10793,0.0,3.0,1.0,1.0,0.0,1,tariff_25,False,5.0,0
213,user_10801,0.0,2.0,0.0,0.0,0.0,3,tariff_25,True,2.0,1
214,user_10804,0.0,1.0,1.0,0.0,1.0,1,tariff_20,False,3.0,0
215,user_10808,0.0,31.0,24.0,3.0,0.0,1,tariff_11,False,58.0,1
216,user_10809,3.0,0.0,0.0,0.0,0.0,2,tariff_15,False,3.0,0
217,user_1081,0.0,25.0,6.0,2.0,10.0,4,tariff_15,True,43.0,1
218,user_10810,0.0,49.0,15.0,1.0,0.0,4,tariff_7,False,65.0,1
219,user_10811,28.0,1.0,0.0,0.0,0.0,3,tariff_7,True,29.0,1
220,user_10821,0.0,19.0,2.0,1.0,0.0,1,tariff_15,False,22.0,0
221,user_10827,0.0,1.0,1.0,0.0,0.0,2,tariff_2,False,2.0,0
222,user_1083,0.0,3.0,2.0,0.0,0.0,4,tariff_25,False,5.0,1
223,user_10832,0.0,111.0,10.0,0.0,0.0,4,tariff_11,False,121.0,1
224,user_10834,0.0,10.0,7.0,1.0,0.0,1,tariff_15,False,18.0,1
225,user_10837,0.0,1.0,1.0,0.0,0.0,3,tariff_25,False,2.0,1
226,user_10847,0.0,5.0,0.0,0.0,1.0,1,tariff_10,False,6.0,0
227,user_10859,0.0,103.0,94.0,38.0,0.0,2,tariff_7,True,235.0,1
228,user_10860,0.0,9.0,1.0,0.0,0.0,1,tariff_25,False,10.0,0
229,user_10866,0.0,4.0,2.0,0.0,0.0,2,tariff_25,False,6.0,0
230,user_1087,0.0,36.0,14.0,4.0,0.0,1,tariff_15,True,54.0,0
231,user_10874,0.0,8.0,6.0,0.0,0.0,3,tariff_25,False,14.0,0
232,user_10877,0.0,1.0,1.0,1.0,0.0,1,tariff_25,True,3.0,0
233,user_10879,0.0,3.0,1.0,1.0,0.0,2,tariff_25,False,5.0,1
234,user_10880,0.0,22.0,12.0,1.0,0.0,1,tariff_15,False,35.0,1
235,user_10888,0.0,14.0,6.0,0.0,0.0,3,tariff_15,False,20.0,1
236,user_10889,0.0,156.0,33.0,5.0,1.0,3,tariff_11,False,195.0,1
237,user_1089,0.0,115.0,33.0,4.0,0.0,3,tariff_7,True,152.0,1
238,user_10890,0.0,89.0,35.0,4.0,0.0,3,tariff_20,False,128.0,0
239,user_10893,0.0,15.0,1.0,0.0,0.0,1,tariff_25,False,16.0,1
240,user_10894,0.0,94.0,13.0,2.0,0.0,3,tariff_11,True,109.0,1
241,user_10898,0.0,8.0,4.0,0.0,0.0,4,tariff_25,False,12.0,1
242,user_109,65.0,67.0,0.0,0.0,0.0,4,tariff_11,False,132.0,1
243,user_1090,0.0,49.0,13.0,2.0,0.0,3,tariff_11,False,64.0,1
244,user_10900,0.0,21.0,8.0,0.0,0.0,4,tariff_15,False,29.0,1
245,user_10901,0.0,25.0,4.0,0.0,0.0,2,tariff_25,False,29.0,1
246,user_10906,0.0,5.0,3.0,0.0,0.0,4,tariff_7,True,8.0,1
247,user_10908,0.0,1.0,0.0,0.0,0.0,2,tariff_25,True,1.0,0
248,user_10910,0.0,3.0,1.0,1.0,0.0,1,tariff_15,False,5.0,0
249,user_10912,0.0,10.0,1.0,0.0,0.0,2,tariff_4,False,11.0,0
250,user_10916,0.0,3.0,0.0,0.0,0.0,2,tariff_25,True,3.0,0
251,user_1092,0.0,1.0,1.0,0.0,0.0,1,tariff_25,False,2.0,1
252,user_10926,0.0,1.0,0.0,0.0,0.0,1,tariff_4,False,1.0,0
253,user_10927,0.0,14.0,6.0,2.0,0.0,4,tariff_25,False,22.0,1
254,user_10930,0.0,11.0,3.0,0.0,0.0,1,tariff_25,False,14.0,1
255,user_10933,0.0,13.0,1.0,0.0,0.0,1,tariff_15,False,14.0,0
256,user_10937,0.0,8.0,0.0,0.0,0.0,3,tariff_2,True,8.0,0
257,user_10939,0.0,111.0,89.0,56.0,0.0,3,tariff_15,True,256.0,1
258,user_10942,0.0,3.0,2.0,0.0,0.0,1,tariff_4,False,5.0,0
259,user_10943,0.0,2.0,2.0,0.0,0.0,3,tariff_7,True,4.0,1
260,user_10948,0.0,11.0,2.0,0.0,1.0,4,tariff_7,True,14.0,1
261,user_10950,0.0,12.0,8.0,3.0,0.0,3,tariff_26,False,23.0,0
262,user_10958,8.0,0.0,0.0,0.0,0.0,3,tariff_7,True,8.0,1
263,user_10961,0.0,4.0,4.0,0.0,0.0,3,tariff_1,False,8.0,1
264,user_10962,0.0,28.0,1.0,0.0,0.0,3,tariff_11,False,29.0,1
265,user_10963,3.0,51.0,16.0,4.0,1.0,1,tariff_7,False,75.0,1
266,user_1097,0.0,2.0,1.0,0.0,0.0,2,tariff_25,False,3.0,1
267,user_10970,0.0,147.0,2.0,2.0,0.0,3,tariff_25,False,151.0,1
268,user_10971,0.0,8.0,4.0,0.0,0.0,3,tariff_10,False,12.0,1
269,user_10972,0.0,1.0,1.0,0.0,0.0,2,tariff_25,True,2.0,1
270,user_10977,0.0,4.0,3.0,3.0,0.0,2,tariff_11,True,10.0,0
271,user_10988,0.0,32.0,7.0,0.0,0.0,4,tariff_15,False,39.0,1
272,user_10996,0.0,15.0,4.0,1.0,0.0,3,tariff_7,True,20.0,1
273,user_11003,0.0,5.0,3.0,0.0,0.0,2,tariff_15,False,8.0,1
274,user_11004,0.0,10.0,2.0,0.0,0.0,1,tariff_25,True,12.0,0
275,user_11010,0.0,2.0,2.0,0.0,0.0,1,tariff_15,False,4.0,0
276,user_11011,0.0,39.0,7.0,1.0,0.0,3,tariff_11,True,47.0,1
277,user_11012,0.0,11.0,3.0,0.0,0.0,4,tariff_15,False,14.0,1
278,user_11014,0.0,38.0,13.0,2.0,0.0,3,tariff_11,False,53.0,1
279,user_11015,0.0,3.0,1.0,0.0,0.0,4,tariff_25,False,4.0,1
280,user_11017,0.0,19.0,6.0,2.0,0.0,4,tariff_2,False,27.0,1
281,user_11020,0.0,13.0,2.0,1.0,0.0,4,tariff_15,False,16.0,1
282,user_11021,0.0,23.0,9.0,5.0,0.0,4,tariff_7,True,37.0,1
283,user_11024,0.0,5.0,3.0,0.0,0.0,2,tariff_25,False,8.0,0
284,user_11025,0.0,14.0,4.0,0.0,0.0,4,tariff_7,True,18.0,0
285,user_11026,0.0,56.0,22.0,5.0,0.0,4,tariff_7,True,83.0,1
286,user_11029,0.0,27.0,21.0,5.0,0.0,4,tariff_25,False,53.0,1
287,user_11033,0.0,22.0,9.0,0.0,0.0,4,tariff_25,True,31.0,1
288,user_11035,0.0,34.0,20.0,1.0,0.0,4,tariff_11,False,55.0,1
289,user_11036,0.0,10.0,3.0,0.0,0.0,2,tariff_4,False,13.0,1
290,user_1104,0.0,1.0,0.0,0.0,0.0,3,tariff_25,True,1.0,0
291,user_11043,0.0,41.0,37.0,5.0,0.0,4,tariff_14,True,83.0,1
292,user_11048,0.0,3.0,3.0,3.0,0.0,4,tariff_2,False,9.0,1
293,user_11049,0.0,58.0,36.0,4.0,0.0,1,tariff_11,False,98.0,1
294,user_1105,0.0,8.0,3.0,0.0,0.0,1,tariff_1,False,11.0,1
295,user_11053,0.0,79.0,44.0,30.0,0.0,4,tariff_25,False,153.0,1
296,user_11057,0.0,15.0,5.0,0.0,0.0,4,tariff_11,False,20.0,1
297,user_1106,2.0,3.0,0.0,0.0,0.0,3,tariff_11,False,5.0,1
298,user_11069,0.0,15.0,10.0,5.0,0.0,4,tariff_15,False,30.0,0
299,user_11071,0.0,3.0,2.0,0.0,0.0,3,tariff_7,False,5.0,1
300,user_11072,0.0,3.0,3.0,1.0,0.0,1,tariff_15,False,7.0,0
301,user_11073,0.0,64.0,12.0,0.0,0.0,3,tariff_3,True,76.0,1
302,user_11077,0.0,11.0,2.0,0.0,0.0,3,tariff_25,False,13.0,0
303,user_11079,0.0,10.0,4.0,0.0,0.0,1,tariff_10,False,14.0,0
304,user_1108,0.0,1.0,0.0,0.0,0.0,3,tariff_25,True,1.0,0
305,user_11081,0.0,1.0,1.0,0.0,0.0,1,tariff_15,False,2.0,0
306,user_11088,0.0,76.0,20.0,3.0,0.0,4,tariff_11,False,99.0,1
307,user_11089,0.0,2.0,1.0,0.0,0.0,2,tariff_2,False,3.0,0
308,user_11100,0.0,11.0,11.0,2.0,0.0,1,tariff_25,False,24.0,0
309,user_11102,0.0,4.0,2.0,0.0,0.0,1,tariff_4,False,6.0,1
310,user_11103,0.0,80.0,35.0,6.0,0.0,4,tariff_15,False,121.0,1
311,user_1111,0.0,1.0,0.0,0.0,0.0,1,tariff_25,True,1.0,0
312,user_11113,0.0,78.0,13.0,3.0,1.0,2,tariff_7,True,95.0,1
313,user_11114,0.0,2.0,0.0,0.0,0.0,3,tariff_2,True,2.0,0
314,user_11116,0.0,7.0,1.0,1.0,0.0,3,tariff_11,True,9.0,1
315,user_11117,0.0,1.0,1.0,0.0,0.0,1,tariff_25,False,2.0,0
316,user_11119,0.0,1.0,0.0,0.0,0.0,2,tariff_25,True,1.0,1
317,user_1112,0.0,7.0,1.0,0.0,0.0,3,tariff_25,False,8.0,1
318,user_11121,0.0,31.0,22.0,2.0,0.0,3,tariff_15,False,55.0,0
319,user_11123,0.0,65.0,14.0,6.0,0.0,4,tariff_7,True,85.0,1
320,user_11126,0.0,66.0,1.0,0.0,0.0,1,tariff_4,False,67.0,1
321,user_11129,0.0,174.0,38.0,12.0,0.0,2,tariff_4,False,224.0,1
322,user_11130,72.0,39.0,0.0,0.0,0.0,4,tariff_6,False,111.0,1
